,counts,id
绝对,422,388
呀,422,389
那种,421,390
很赞,420,391
1,419,392
煎,419,393
霸王餐,419,394
各种,417,395
肉质,413,396
烧烤,410,397
哈哈哈,409,398
上面,407,399
还行,406,400
冰淇淋,404,401
舒服,402,402
久,400,403
10,399,404
很嫩,398,405
老公,397,406
超,395,407
免费,394,408
啥,393,409
小伙伴,393,410
店员,391,411
们,390,412
从,390,413
挺好吃,389,414
不少,388,415
鸡肉,387,416
建议,387,417
确实,386,418
点心,386,419
食物,385,420
新开,385,421
炒,385,422
打包,383,423
主要,381,424
周末,379,425
一口,379,426
羊肉,379,427
吗,377,428
帮,376,429
三个,376,430
烤肉,376,431
整体,375,432
番茄,375,433
棒棒,373,434
还要,373,435
也好,371,436
难吃,370,437
并,370,438
清淡,366,439
抹,365,440
一杯,364,441
过去,364,442
炸,363,443
新,361,444
),359,445
鲜美,359,446
开心,359,447
(,358,448
6,357,449
拌,357,450
看着,355,451
空调,353,452
尤其,353,453
^,352,454
很快,351,455
大概,350,456
算是,350,457
风格,348,458
桌子,347,459
满足,346,460
一碗,346,461
份,346,462
惊艳,346,463
配菜,345,464
公司,343,465
”,343,466
“,342,467
奶油,342,468
位子,342,469
饼,339,470
机会,338,471
估计,337,472
聚餐,336,473
!,336,474
沙拉,336,475
不到,335,476
终于,334,477
馄饨,334,478
于是,332,479
糯,329,480
没想到,329,481
8,329,482
点菜,328,483
嘛,328,484
可是,328,485
调料,328,486
别的,327,487
尝尝,327,488
打,325,489
分钟,325,490
下午茶,324,491
搭配,323,492
下午,323,493
可爱,322,494
干,320,495
多次,318,496
提前,317,497
牛舌,317,498
路,315,499
煮,312,500
而,312,501
用餐,311,502
丰富,311,503
冰,311,504
样子,310,505
冰激凌,309,506
入口,309,507
反正,309,508
炒饭,308,509
座位,308,510
体验,308,511
烤鱼,307,512
鹅,307,513
慢,306,514
油,306,515
料,305,516
汉堡,304,517
总之,304,518
普通,303,519
工作日,302,520
稍微,301,521
竟然,301,522
鸡翅,298,523
嚼,298,524
虾仁,297,525
够,297,526
后面,297,527
时,296,528
蘸,294,529
出,294,530
好好,293,531
下去,291,532
还会来,290,533
下来,289,534
排,288,535
夏天,287,536
炸鸡,287,537
腻,287,538
以为,287,539
精致,285,540
饱,283,541
宝宝,283,542
肝,282,543
很少,282,544
主食,281,545
对于,280,546
排骨,280,547
左右,279,548
酱料,279,549
券,279,550
卷,279,551
可,279,552
小朋友,278,553
问题,278,554
名字,278,555
劲,277,556
包,277,557
唯一,277,558
米饭,277,559
皮,276,560
很小,276,561
猪排,275,562
当然,275,563
些,275,564
100,272,565
它,272,566
地,271,567
日料,271,568
小菜,271,569
简直,271,570
停车,271,571
印象,270,572
是不是,270,573
土豆,270,574
这边,268,575
楼,267,576
小贵,266,577
烧,266,578
饭店,265,579
更好,265,580
广场,265,581
不太,265,582
中规中矩,265,583
香味,265,584
品质,264,585
前,264,586
折,264,587
韩国,264,588
却,263,589
刚,263,590
作为,262,591
种类,262,592
+,262,593
你们,260,594
面条,259,595
果然,259,596
为什么,259,597
一块,258,598
真,258,599
酸,258,600
汁,258,601
:,257,602
拉面,257,603
继续,257,604
水,257,605
下面,256,606
到位,255,607
相当,255,608
人均,255,609
聚会,254,610
美食,253,611
微辣,253,612
小店,252,613
️,251,614
7,251,615
不行,251,616
为,251,617
煲,250,618
撑,250,619
地道,248,620
油腻,248,621
重,248,622
小哥,247,623
好找,247,624
想象,247,625
午餐,246,626
评价,245,627
鳗鱼,245,628
健康,245,629
汤底,244,630
略,244,631
菜量,244,632
挺不错,243,633
上次,243,634
原味,242,635
30,242,636
薯条,242,637
肥牛,242,638
店铺,242,639
每个,241,640
周到,241,641
有个,241,642
牛,241,643
几乎,241,644
不如,240,645
鲜,240,646
鸭,240,647
清爽,239,648
消费,239,649
顾客,238,650
为了,238,651
拍照,237,652
午市,237,653
无功,237,654
牛油果,237,655
容易,236,656
预约,236,657
主动,236,658
很香,235,659
贴心,235,660
原来,234,661
貌似,234,662
毕竟,234,663
隔壁,233,664
店内,233,665
滑,233,666
四个,233,667
根本,233,668
介绍,233,669
20,232,670
胃口,232,671
不想,232,672
生日,232,673
蛋,230,674
早,230,675
约,230,676
酸奶,230,677
首先,229,678
连,228,679
加上,228,680
近,227,681
或者,227,682
看看,227,683
接受,227,684
不同,226,685
满,226,686
二楼,226,687
无过,226,688
鸡蛋,224,689
阿姨,224,690
整个,224,691
人不多,224,692
由于,224,693
甜点,223,694
肯定,223,695
/,223,696
一点点,222,697
粉丝,222,698
_,221,699
冷,220,700
钱,220,701
关键,219,702
去过,219,703
分,219,704
12,219,705
虾饺,218,706
次,217,707
忘记,217,708
好看,216,709
港式,216,710
闺蜜,216,711
个头,216,712
麻辣,215,713
必须,214,714
份量,214,715
脆,213,716
道,212,717
很鲜,212,718
先,212,719
酱汁,211,720
掉,211,721
对面,210,722
与,210,723
=,210,724
硬,210,725
很足,210,726
回家,210,727
孩子,209,728
写,209,729
听,209,730
酸菜鱼,209,731
叉烧,209,732
老板娘,208,733
安静,207,734
人多,206,735
代金券,206,736
人点,206,737
酱油,206,738
记得,205,739
刚刚,205,740
找到,204,741
服务生,204,742
平时,204,743
爽口,204,744
下班,204,745
芥末,204,746
羊肉串,203,747
汤汁,203,748
菜式,202,749
手,202,750
啤酒,202,751
片,201,752
米线,201,753
草莓,201,754
最好,201,755
泡,201,756
适中,201,757
好久,200,758
感谢,200,759
有人,200,760
据说,200,761
越来越,200,762
离,200,763
价钱,199,764
鱿鱼,198,765
搞,198,766
品尝,198,767
粉,198,768
要求,198,769
这点,197,770
儿子,197,771
一种,196,772
较,196,773
鲜嫩,196,774
惊喜,195,775
蚝,195,776
蒸,195,777
一楼,194,778
羊排,194,779
看上去,193,780
鱼头,193,781
点单,193,782
菜色,193,783
跑,192,784
听说,191,785
拍,191,786
不腻,191,787
多少,190,788
质量,190,789
坐在,189,790
卖,189,791
浓,189,792
两次,189,793
午饭,188,794
米,188,795
咬,187,796
可口,187,797
还点,187,798
帮忙,187,799
滴,186,800
小吃,186,801
哟,186,802
布丁,186,803
饿,186,804
单点,185,805
清新,185,806
只要,185,807
日本,185,808
黄,185,809
不吃,184,810
呵呵,184,811
日式,184,812
进门,183,813
大虾,183,814
Q,183,815
一层,183,816
包房,183,817
一道,182,818
不怎么,182,819
差评,182,820
再来,181,821
卫生,181,822
淡,181,823
烤鸭,181,824
软,181,825
不辣,181,826
15,180,827
吃不完,180,828
杯,179,829
创意,178,830
一半,178,831
厨师,178,832
火锅店,178,833
鱼肉,177,834
完美,177,835
提醒,177,836
偏,176,837
准备,176,838
甜甜的,176,839
当,176,840
厚,175,841
醉,175,842
结账,175,843
牛奶,174,844
牛腩,174,845
妈妈,174,846
串串,174,847
其它,173,848
日,172,849
总的来说,172,850
电影,171,851
猪,171,852
碗,171,853
饭点,170,854
尝,170,855
生菜,170,856
扇贝,170,857
楼下,170,858
椒盐,170,859
菠萝,170,860
脆脆,169,861
十三,169,862
糖,169,863
家里,169,864
柠檬,168,865
十分,168,866
9,168,867
家门口,168,868
一桌,168,869
金枪鱼,168,870
重要,167,871
吃饱,167,872
关系,166,873
每,165,874
长,165,875
鱼片,164,876
放在,164,877
突然,164,878
吵,164,879
优雅,164,880
小食,164,881
⋯,163,882
预定,163,883
属于,163,884
催,163,885
一只,162,886
所有,162,887
期待,162,888
冬阴功,162,889
微信,161,890
蟹粉,161,891
商家,161,892
吸引,161,893
超赞,161,894
特意,160,895
特地,160,896
内,160,897
打折,160,898
果汁,160,899
50,159,900
偏甜,159,901
不贵,159,902
上去,159,903
、,159,904
那里,158,905
进来,158,906
一会,158,907
我点,158,908
晚,158,909
开业,157,910
石锅,157,911
看起来,157,912
料理,156,913
拌面,156,914
小聚,156,915
改进,156,916
商场,156,917
坐下,155,918
价位,155,919
明显,155,920
辣味,155,921
薄,155,922
油条,155,923
酒店,155,924
回来,155,925
聊天,155,926
原因,155,927
冲着,154,928
告知,154,929
端上来,153,930
南瓜,153,931
总,153,932
就餐,153,933
餐具,153,934
熟,152,935
不高,152,936
11,152,937
边,151,938
沙包,151,939
以,151,940
分店,151,941
玩,151,942
类似,151,943
辣椒,151,944
经典,151,945
鸡汤,151,946
基本上,150,947
很浓,150,948
考虑,150,949
新店,150,950
烫,150,951
边上,150,952
蒜,150,953
请,150,954
菌菇,150,955
路上,149,956
心情,149,957
流,149,958
女儿,149,959
一大,148,960
逛,148,961
干锅,148,962
小小的,148,963
不了,148,964
调味,147,965
相对,147,966
难,147,967
本身,147,968
偶尔,146,969
黄鱼,146,970
这是,146,971
串,145,972
的确,145,973
泡菜,145,974
不得不,145,975
弹性,145,976
亲切,144,977
吃不下,144,978
豆浆,144,979
地铁,143,980
中间,143,981
很饱,143,982
之类,143,983
茶餐厅,143,984
芙,143,985
不然,143,986
骨头,142,987
全部,142,988
果断,142,989
享受,142,990
吃火锅,142,991
有点咸,142,992
口,142,993
无,141,994
决定,141,995
毛肚,141,996
两份,141,997
天,141,998
用心,141,999
晚饭,141,1000
天气,141,1001
类,140,1002
开胃,140,1003
五花肉,140,1004
解决,140,1005
太少,140,1006
最爱,140,1007
传统,140,1008
不足,139,1009
看见,139,1010
昨天,139,1011
浪费,139,1012
牛肉丸,138,1013
桌,138,1014
家人,138,1015
糕,138,1016
地理位置,138,1017
晚餐,138,1018
弹,138,1019
蘑菇,137,1020
醋,137,1021
就要,137,1022
开张,137,1023
告诉,137,1024
照片,137,1025
糯米,137,1026
忘,137,1027
汁水,136,1028
新品,136,1029
麻辣烫,136,1030
交通,136,1031
意面,136,1032
吃个,136,1033
一股,135,1034
土豆泥,135,1035
斤,135,1036
金针菇,134,1037
过瘾,134,1038
萝卜,134,1039
合算,134,1040
女生,134,1041
海胆,134,1042
哎,134,1043
炖,134,1044
团,134,1045
十足,134,1046
腿,133,1047
黑,133,1048
厨房,133,1049
一张,133,1050
满满的,133,1051
多点,133,1052
意外,133,1053
肚子,132,1054
杯子,132,1055
还来,132,1056
猪肉,132,1057
星,132,1058
楼上,132,1059
依旧,132,1060
花,131,1061
雪花,131,1062
香草,131,1063
摆盘,130,1064
太甜,130,1065
简单,130,1066
就算,130,1067
冻,130,1068
捞,130,1069
盘子,130,1070
不大,130,1071
方面,130,1072
话,130,1073
铁,130,1074
吧,130,1075
五星,129,1076
酸菜,129,1077
章鱼,129,1078
一共,129,1079
涮,129,1080
泰式,129,1081
电话,129,1082
及时,129,1083
相比,128,1084
很甜,128,1085
说实话,128,1086
影响,128,1087
沾,127,1088
正,127,1089
客气,127,1090
*,127,1091
咯,127,1092
烤鸡,127,1093
好次,127,1094
字,127,1095
之一,127,1096
小笼,126,1097
那天,126,1098
一顿,126,1099
有待,126,1100
咋,126,1101
红豆,126,1102
刚好,125,1103
红,125,1104
老妈,125,1105
这些,125,1106
台湾,125,1107
],125,1108
本,125,1109
双拼,125,1110
墨鱼,125,1111
泡饭,125,1112
位,125,1113
没吃过,124,1114
每天,124,1115
强烈推荐,124,1116
提供,124,1117
站,124,1118
焦糖,124,1119
[,124,1120
意,124,1121
哈,123,1122
一盘,123,1123
即,123,1124
再次,122,1125
是因为,122,1126
位于,122,1127
茄子,122,1128
人家,122,1129
偏咸,122,1130
人少,122,1131
靠窗,121,1132
香肠,121,1133
红烧肉,121,1134
水准,121,1135
化,121,1136
配料,121,1137
铁板,121,1138
大爱,121,1139
当时,121,1140
正常,121,1141
量足,121,1142
点餐,121,1143
两人,121,1144
酸酸甜甜,120,1145
一位,120,1146
食堂,120,1147
玉米,119,1148
颜色,119,1149
谢谢,119,1150
人太多,119,1151
人员,119,1152
挑,119,1153
鳕鱼,119,1154
风味,119,1155
餐,119,1156
点赞,118,1157
粒,118,1158
两种,118,1159
满满,118,1160
乳鸽,117,1161
淡淡的,117,1162
错过,117,1163
图片,117,1164
丸子,117,1165
凤爪,117,1166
谁,116,1167
下单,116,1168
半小时,116,1169
鸡排,116,1170
越,115,1171
半天,115,1172
奇怪,115,1173
來,115,1174
椒,115,1175
来到,115,1176
手机,115,1177
亲民,115,1178
酒,115,1179
花生,114,1180
点多,114,1181
舒适,114,1182
卖相,114,1183
符合,114,1184
经理,114,1185
..,114,1186
难得,114,1187
鸡爪,114,1188
不太好,114,1189
主打,114,1190
死,114,1191
耐心,114,1192
蟹肉,114,1193
颜值,114,1194
服务周到,114,1195
肉类,113,1196
总是,113,1197
第一,113,1198
一边,113,1199
芝麻,113,1200
嗲,113,1201
整洁,113,1202
部分,113,1203
爽,113,1204
早餐,113,1205
煲仔饭,113,1206
怕,113,1207
感,113,1208
食欲,113,1209
半个,113,1210
吃掉,112,1211
评论,112,1212
外,112,1213
三,112,1214
酸辣,112,1215
自助餐,112,1216
区,112,1217
头,112,1218
不像,112,1219
很脆,112,1220
蒜蓉,112,1221
噢,112,1222
经济,112,1223
离家,111,1224
素菜,111,1225
吃货,111,1226
提高,111,1227
全是,111,1228
一级,111,1229
或,111,1230
有点像,111,1231
加点,111,1232
夜宵,110,1233
漂亮,110,1234
重新,110,1235
本人,110,1236
蛋黄,110,1237
上桌,110,1238
意大利,110,1239
餐前,110,1240
月,110,1241
半,110,1242
切,110,1243
冷面,109,1244
香港,109,1245
一条,109,1246
前面,109,1247
量少,109,1248
太多,109,1249
40,109,1250
合适,109,1251
一看,109,1252
别家,109,1253
培根,108,1254
电梯,108,1255
明明,108,1256
别人,108,1257
块钱,108,1258
才能,108,1259
厚实,108,1260
冷菜,108,1261
使用,108,1262
布置,108,1263
月光,108,1264
桌上,108,1265
堂,108,1266
它家,107,1267
远,107,1268
嗯,107,1269
18,107,1270
OK,107,1271
新疆,107,1272
川菜,107,1273
虾肉,107,1274
—,107,1275
香蕉,107,1276
美,107,1277
很久没,106,1278
一圈,106,1279
黄瓜,106,1280
猪肚,106,1281
宽敞,106,1282
遗憾,106,1283
鲜肉,106,1284
两,106,1285
地段,106,1286
月饼,106,1287
哈哈哈哈,105,1288
美女,105,1289
赞赞,105,1290
等等,105,1291
氛围,105,1292
温馨,105,1293
上班,105,1294
另,105,1295
面粉,105,1296
酥脆,104,1297
营业,104,1298
一人,104,1299
造型,104,1300
饮品,104,1301
仔,104,1302
龙之梦,104,1303
冰镇,104,1304
鲍鱼,104,1305
重点,104,1306
那边,104,1307
装,104,1308
单,104,1309
赠送,104,1310
汤头,104,1311
味精,103,1312
安排,103,1313
爆,103,1314
当天,103,1315
几天,103,1316
为主,103,1317
锅贴,103,1318
靠,103,1319
太小,103,1320
注意,103,1321
小孩,102,1322
回去,102,1323
nice,102,1324
支付宝,102,1325
（,102,1326
亮点,102,1327
习惯,102,1328
表示,102,1329
至少,102,1330
辣辣的,102,1331
全,101,1332
发票,101,1333
韩式,101,1334
浇头,101,1335
提拉,101,1336
没点,101,1337
网上,101,1338
已,101,1339
个人感觉,101,1340
鲜榨,101,1341
美式,101,1342
超好,101,1343
泰国,101,1344
经过,101,1345
像是,100,1346
那样,100,1347
一天,100,1348
办法,100,1349
专门,100,1350
王,100,1351
....,100,1352
腥味,100,1353
进店,100,1354
拼,100,1355
好大,100,1356
依然,100,1357
米苏,100,1358
任何,100,1359
小姑娘,99,1360
噱头,99,1361
在家,99,1362
浓浓的,99,1363
会员,99,1364
风,99,1365
老婆,99,1366
有种,99,1367
事情,99,1368
球,98,1369
海南,98,1370
云南,98,1371
比起,98,1372
弄,98,1373
低,98,1374
不得了,98,1375
辣酱,98,1376
牛肉面,98,1377
西瓜,98,1378
员工,98,1379
客户,98,1380
要点,98,1381
足够,98,1382
点个,97,1383
肠粉,97,1384
下饭,97,1385
菜肴,97,1386
香菇,97,1387
趁热,97,1388
力,97,1389
潮汕,97,1390
空心菜,97,1391
地下,97,1392
小时候,96,1393
双人,96,1394
那家,96,1395
搜,96,1396
丝,96,1397
周围,96,1398
坐满,96,1399
拿破仑,95,1400
想到,95,1401
灯光,95,1402
周六,95,1403
不怎么样,95,1404
马上,95,1405
88,95,1406
38,95,1407
以上,95,1408
高大,94,1409
重庆,94,1410
制作,94,1411
要是,94,1412
买一送一,94,1413
情况,94,1414
馅,94,1415
猪蹄,94,1416
鲜虾,94,1417
很漂亮,94,1418
三明治,94,1419
娃娃,94,1420
忙,94,1421
保持,94,1422
处理,94,1423
图,94,1424
带子,93,1425
进,93,1426
茶水,93,1427
骨,93,1428
点点,93,1429
愉快,93,1430
猪颈肉,93,1431
不知,93,1432
咸蛋,93,1433
音乐,93,1434
好久没,93,1435
想要,93,1436
偏贵,93,1437
空间,93,1438
其中,93,1439
一句,93,1440
心,93,1441
良心,92,1442
很辣,92,1443
一盆,92,1444
自然,92,1445
好去处,92,1446
同学,92,1447
肥,92,1448
五点,92,1449
筷子,92,1450
香辣,92,1451
玫瑰,92,1452
很近,92,1453
木有,92,1454
折扣,92,1455
包装,92,1456
现场,92,1457
火,91,1458
各,91,1459
系列,91,1460
水平,91,1461
超市,91,1462
不管,91,1463
顺便,90,1464
饭团,90,1465
也许,90,1466
龙利鱼,90,1467
特价,90,1468
焗,90,1469
招牌菜,90,1470
丢,90,1471
之,90,1472
道菜,90,1473
过生日,90,1474
抽中,90,1475
于,90,1476
表演,89,1477
赞赞赞,89,1478
香脆,89,1479
三种,89,1480
我家,89,1481
城,89,1482
早上,89,1483
工作,89,1484
打电话,89,1485
一片,89,1486
妹子,89,1487
油炸,89,1488
奶,89,1489
200,89,1490
一会儿,89,1491
关门,88,1492
收,88,1493
装饰,88,1494
➕,88,1495
是否,88,1496
吧台,88,1497
特,88,1498
以及,88,1499
奶盖,88,1500
门面,88,1501
甜虾,88,1502
夹,88,1503
红糖,88,1504
半价,88,1505
地铁站,88,1506
哪里,87,1507
羊腿,87,1508
外皮,87,1509
单位,87,1510
师傅,87,1511
周边,87,1512
老外,87,1513
血,87,1514
再点,87,1515
甜味,86,1516
周五,86,1517
一小,86,1518
撒,86,1519
米粉,86,1520
然而,86,1521
试试看,86,1522
内容,86,1523
小份,86,1524
挺大,86,1525
有时候,86,1526
挺快,86,1527
丸,86,1528
奶酪,86,1529
面馆,86,1530
下雨天,85,1531
住,85,1532
黄油,85,1533
嘴里,85,1534
不錯,85,1535
离家近,85,1536
草,85,1537
冰块,85,1538
简餐,84,1539
做好,84,1540
懂,84,1541
不爱,84,1542
说话,84,1543
蛤蜊,84,1544
奶昔,84,1545
抽到,84,1546
手工,84,1547
起,84,1548
酸甜,84,1549
组合,84,1550
独特,84,1551
品牌,84,1552
成,84,1553
她们,84,1554
细腻,84,1555
洋葱,83,1556
做法,83,1557
ok,83,1558
春卷,83,1559
反应,83,1560
•,83,1561
想着,83,1562
询问,83,1563
收银,83,1564
饱满,83,1565
贝,83,1566
会员卡,83,1567
入座,82,1568
来过,82,1569
试吃,82,1570
每人,82,1571
第二天,82,1572
虾饼,82,1573
工作餐,82,1574
甜度,82,1575
大厅,82,1576
显得,82,1577
圈,82,1578
28,82,1579
高兴,81,1580
火爆,81,1581
紫薯,81,1582
店长,81,1583
拉,81,1584
火腿,81,1585
超高,81,1586
两杯,81,1587
全程,81,1588
错,81,1589
如此,81,1590
吊龙,81,1591
盐,81,1592
红烧,81,1593
豆花,81,1594
嘈杂,81,1595
皇,81,1596
推出,81,1597
原本,81,1598
定,81,1599
订,81,1600
区别,80,1601
爸爸,80,1602
表扬,80,1603
pizza,80,1604
部队,80,1605
大块,80,1606
星巴克,80,1607
❤,80,1608
首选,80,1609
从来,79,1610
差点,79,1611
款,79,1612
汤包,79,1613
烂,79,1614
价廉物美,79,1615
鲈鱼,79,1616
靠近,79,1617
感受,79,1618
大肠,79,1619
鲜味,79,1620
千层,79,1621
添加,79,1622
休息,79,1623
挤,79,1624
支持,79,1625
包厢,79,1626
68,79,1627
再也,78,1628
老店,78,1629
海盐,78,1630
底,78,1631
等待,78,1632
培训,78,1633
糍粑,78,1634
泰国菜,78,1635
雪冰,78,1636
尚可,78,1637
拉肚子,78,1638
黑鱼,78,1639
幸运,78,1640
慢慢,78,1641
酸酸的,78,1642
办,78,1643
中国,78,1644
鸭血,77,1645
包括,77,1646
太油,77,1647
凉,77,1648
凉菜,77,1649
炒面,77,1650
酒吧,77,1651
想来,77,1652
酥皮,77,1653
设计,77,1654
蛮高,77,1655
逛街,77,1656
走进,77,1657
奶味,77,1658
火候,77,1659
大悦,77,1660
麻烦,77,1661
节奏,76,1662
本帮菜,76,1663
锅巴,76,1664
年,76,1665
限量,76,1666
热闹,76,1667
百叶,76,1668
勤快,76,1669
有没有,76,1670
再说,76,1671
过程,76,1672
难道,76,1673
北极,76,1674
主题,76,1675
期间,76,1676
卖完,76,1677
咖啡店,76,1678
且,76,1679
翅,76,1680
网红,76,1681
大堂,76,1682
条,76,1683
光临,76,1684
馒头,76,1685
热心,76,1686
每桌,76,1687
似乎,75,1688
忍不住,75,1689
遇到,75,1690
主菜,75,1691
热菜,75,1692
腌制,75,1693
太久,75,1694
种,75,1695
恰到好处,75,1696
太慢,75,1697
季节,75,1698
变成,75,1699
缘故,75,1700
一试,75,1701
按,75,1702
好友,75,1703
我要,75,1704
鸳鸯,75,1705
剩下,75,1706
前菜,75,1707
拥挤,74,1708
变,74,1709
满分,74,1710
菠菜,74,1711
看来,74,1712
同样,74,1713
气氛,74,1714
五角场,74,1715
一锅,74,1716
很爽,74,1717
开门,74,1718
反而,74,1719
支付,74,1720
冒,74,1721
理解,74,1722
事,74,1723
太辣,74,1724
太咸,74,1725
麻,74,1726
帅哥,74,1727
多汁,74,1728
早饭,74,1729
无法,74,1730
棉花,73,1731
等到,73,1732
哪,73,1733
冰沙,73,1734
凉皮,73,1735
烤串,73,1736
红茶,73,1737
⊙,73,1738
可乐,73,1739
莴笋,73,1740
同时,73,1741
减肥,73,1742
の,73,1743
情调,73,1744
度,73,1745
甜腻,73,1746
苦,73,1747
超大,73,1748
有意思,73,1749
沙发,73,1750
张,73,1751
万达,73,1752
👍,72,1753
　,72,1754
不值,72,1755
抱,72,1756
放心,72,1757
人来,72,1758
没人,72,1759
花菜,72,1760
定位,72,1761
椰子,72,1762
厚切,72,1763
结束,72,1764
云吞,72,1765
